Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"Indulge in the delicious taste of Bacala Rico Salted Pollock Fillets. These pollock fillets are salted to perfection, giving them a rich and savory flavor that will leave your taste buds wanting more. Pollock is a mild-tasting fish that is low in fat and high in protein, making it a healthy addition to your diet. The Bacala Rico brand is a trusted source of seafood products, known for their commitment to quality and sustainability. You can find these fillets on Instacart, available for same-day delivery or pickup from your local store. Enjoy these mouth-watering pollock fillets as part of your next meal — you—and your family—will love them!","When you want a taste of the ocean, Jolly Roger Fresh Pacific Oysters are a must-try. The meaty and briny flavor is perfect for seafood lovers and those new to oysters alike. Each oyster is carefully harvested from the icy waters of the Pacific Northwest, ensuring quality and freshness in every bite. Oysters are also packed with healthy nutrients such as vitamin B12, zinc, and omega-3 fatty acids. Enjoy them raw or cooked to your liking, and savor the taste of the sea. With Instacart's same-day delivery or pickup, you can easily bring home these delicious oysters without leaving your house.",Milk Free,"For a delicious and easy meal, try Handy Pasteurized Crab Cake Combo Crab Meat. This 8 oz container of frozen crab meat is perfect for making savory crab cakes or adding to salads and sandwiches. With 11 grams of protein per serving and zero carbohydrates, this crab meat is the perfect choice for anyone looking to maintain a healthy diet. Plus, it's pasteurized and free from shells, making preparation a breeze. Simply keep refrigerated until ready to use. Instacart offers same-day delivery or pickup so you can enjoy fresh seafood without ever leaving your home.","Nothing beats the convenience of having restaurant-quality shrimp at home. Censea Peeled & Deveined Shrimp is a delicious and healthy addition to your meals—packed with 15g of protein and only 70 calories per serving, it’s perfect for those on a low-calorie diet. This peeled and deveined shrimp is gluten-free and contains only two ingredients: shrimp and salt. With Instacart's same-day delivery or pickup, you can enjoy this high-quality seafood in no time. Impress your family with mouth-watering shrimp scampi or add it to your favorite salad for a burst of flavor. You—and your taste buds—will thank you!","Savor the delicate flavor of Sea Best Flounder fillets, now available on Instacart for same-day delivery or pickup. These fillets are easy to prepare, and their mild taste pairs well with a variety of seasonings and sauces. To cook them, simply place them in a lightly oiled baking dish and bake at 425 degrees F for 6 to 10 minutes per inch of thickness or pan fry for a golden-brown finish. This seafood delicacy comes with convenient thawing directions and contains no bones after cooking. Plus, with only two simple ingredients: flounder and sodium tripolyphosphate, you can enjoy a tasty meal without any added fillers or preservatives."
"Go Wild Cod, Wild-Caught",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_281bddb5-bf98-44db-afcb-a7d27054fa47.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_aedf700f-9555-4022-bbf8-db71e16a4497.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_36302832-af60-48aa-a96c-a5fe8641bd4c.png 4x",,,"Delicious cod fillets that are ready for the pan, oven, or broiler. Just add your favorite seasoning, marinade, or sauce. Premium wild- caught seafood. 2 Fillets. Boneless. Skinless. From an msc certified sustainable fishery. www.msc.org. Certified Sustainable Seafood MSC. www.msc.org. www. gowildseafood.com. Vacuum- sealed for freshness & taste. Alaska seafood: Responsibly sourced: Mariner seafood, LLC is committed to sourcing sustainable seafood. The health of the oceans is key to protecting our planet, and we pledge to responsibly harvest the seafood that is in our package. Product of USA.",Alaska Cod.,"Cooking instructions: Always cook product to an internal temperature of 165 Degree F as read by thermometer. Cooking tip: Add a light coating of oil or cooking spray to the cooking surface to keep the fish from sticking. Remove film and fish from tray before cooking. Bake at 375 Degree F for 15-20 minutes. Pan-sear for 4-5 minutes per side. Broil for 12-15 minutes. Fry (pat dry and bread/ batter) for 6-8 minutes depending on the thickness of the fish. Warning: Although great care is taken to remove them, bones may be present. Fish palate: Taste: Mild. Texture: Delicate. Taste: Medium. Texture: Moderate. Taste: Full. Texture: Firm.,Serving suggestions: Pan-seared cod topped with zesty tomato- cilantro salsa. In this easy-to-prepare meal, Cod fillets are pan –seared on high, then topped with Pan-seared Cod topped with zesty tomato-cilantro salsa In this easy to prepare meal, Cod fillets ore pan-seared on high heat, then topped with fresh tomato salsa The flavors of juicy ripe tomatoes, mild sweet red onions and crispy celery create a heavenly combination that’s not just delicious, but wildly healthy tool the citrus zing of chopped cilantro, jalapeno peppers and lime juice adds a tangy punch. For the complete recipe and other serving suggestions , visit: www.foodlion.com/recipes.,Previously frozen. Keep refrigerated. Safe storage and handling: Store in refrigerator (38 Degree F or below) until ready to prepare.,This product has a seven-day shelf life. It should not be consumed after the retailer's settled Use By date.","Contains: fish (cod)., Do not freeze.",,,,,,
"Go Wild Tuna Steaks, Wild Caught",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a9850f6b-27f2-4c06-9eaf-eb2d7fbbb078.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_698e68a9-eea6-4ced-a24d-ad2cac182750.png 4x",,,"Delicious Tuna Steaks that are ready for the grill, Pan, or oven. Just add your favorite seasoning, marinade, or sauce. Go Wild: premium wild caught seafood. Fish palate - Taste: mild, Texture: delicate; Taste: medium, Texture: moderate; Taste: full, Texture: firm. 2 Fillets; boneless; skinless. Responsibly sourced: Mariner seafood, LLC is committed to sourcing sustainable seafood. The health of the oceans is key to protecting our planet, and we pledge to responsibly harvest the seafood that is in our goal.","Tuna, Tasteless Smoke Used As A Preservative To Promote Color Retention.","Serving suggestions: Lemony Tuna Steak: The zing of lemon adds a fresh touch of citrus to our melt-in-your-mouth tuna. Prepare the lemony garlic dill butter, brush over steaks, then pan-sear. Just 4-5 minutes each side, depending on the thickness of the fish - to seal in its firm texture and full flavor. With this elegantly simple way to prepare tuna steaks, you can make this your go-to recipe for even the most discriminating palates! For the complete recipe and other serving suggestions, visit: www.foodlion.com/recipes.,Previously frozen. Keep refrigerated. Safe storage and handling: Store in refrigerator (38 degrees F or below) until ready to prepare. Do not Freeze.,This product has a seven-day shelf life. It should not be consumed after the retailer’s stated use by date.",Contains: fish (tuna),,,,,,
"East Coast Seafood Salmon, Blackened",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b948bc88-2205-4aea-a6b3-16e7e41e7fe9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4e061ea8-e5fe-4773-8d69-6462d4b19058.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4fd03ac5-490d-4507-9e5e-bc325e3d6315.png 4x",,,Please inspect salmon carefully for bones before consumption. Best Aquaculture Practices. Farm raised.,"Atlantic Salmon (color Added Through Feed), Butter (cream, Salt), Olive Oil, Salt, Smoked Paprika (paprika, Natural Smoke Flavor) Seasoning, Spices And Extractives Of Paprika, Garlic Powder, Onion Powder","Cooking Instructions: Preheat oven to 375 degrees F and use scissors to open the bag, placing fillet on a piece of aluminum foil layered on a baking sheet. Be sure to fold up the edges close to fillet to ensure whole fillet is cooked thoroughly, shaking any remaining seasoning from pouch onto the top of the fillet. Place cookie sheet in center rack of oven and cook for 12-14 minutes. Let stand for 2 minutes before diving into delight. Product will reach 145 degrees F when ready. Enjoy the amazing delicious salmon.,Previously frozen. Keep refrigerated.","Allergens: contains milk, fish.",,,,,,
Ducktrap River of Maine Nova Lox Cold Smoked Atlantic Salmon,,$12.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dab8b6b5-ffe7-4a22-9118-302bd91f0d37.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_521b7f48-54e0-490d-aec7-e7fd67fd4a59.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b518aa9b-f9a7-41e3-95de-034eb6a7ed71.png 4x",,,"Ducktrap nova lox smoked salmon is created from Atlantic Salmon fillets & proudly smoked in Maine by Ducktrap River of Maine. Fillets are lightly trimmed and cold smoked in small batches with a unique recipe blend of maple, oak, cherry, and apple woods. Nova Lox is a traditional favorite, thinly sliced with a mild smoke profile.","ATLANTIC SALMON (SALMO SALAR) (color added through feed), SALT, CANE SUGAR, BLACK PEPPER AND DILL. CONTAINS: SALMON (FISH).","Keep refrigerated at 38 degree F (3 degree C) or less. Use within four days of opening. Perishable: keep refrigerated at 38 degrees F or below. Suggestion For Serving: In order to maximize the flavor of your Nova Lox, remove from refrigeration and allow the portion to remain at room temperature for 30 minutes before serving. Our Nova Lox can be enjoyed in a number of ways throughout the day: as a lean protein for breakfast, with fresh veggies in a wrap for lunch, alongside roasted vegetables as an appetizer, or tossed in past for dinner. Allow 2 to 3 slices per person as an appetizer and 4 to 5 slice per person as main course. A chilled, dry white wine or sparkling water can be a perfected accompaniment. Proper Storage: Ducktrap Smoked Salmon has been carefully sealed in a vacuum package. Because we use no artificial preservatives, our Smoked Salmon needs to be kept refrigerated at 38 degree F or less when not being served. It is best stored unopened until the Use By date on the package. Unopened, it can be frozen for up to 3 months. After opening, it should be kept well wrapped in the refrigerator and eaten within 4 days.",Contains: salmon (fish),,,,,,
"Iberia Calamari, Marinara Style, Jumbo",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e03f1366-bc06-4a4b-9f09-c8692929b915.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ff52fb97-4b82-4451-bd5c-10585d01e8f5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_694bfe2c-4246-43d0-be3d-65f08d025ac3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f08f11da-03b8-4b70-8fb4-ea14f5b09134.png 4x",,,"Iberia Marinara Style Calamari Jumbo offers a delicious seafood experience in a convenient 4 oz can. Tender jumbo calamari is perfectly immersed in a rich marinara sauce, delivering a savory flavor that elevates any meal. Ready to eat, this high-protein option is ideal for quick lunches, pasta dishes, or as a unique appetizer. With no artificial preservatives, you can enjoy a clean and wholesome choice that fits seamlessly into your diet. Experience the authentic taste of Iberia Marinara Style Calamari and add a gourmet touch to your culinary creations!,• Tender jumbo calamari in a flavorful marinara sauce for a savory experience,• Convenient 4 oz size perfect for quick meals or appetizers,• Ready to eat, making meal preparation effortless","Jumbo Calamari, Sunflower Oil, Spices, Salt",Easy open.,Contains: shellfish (squid).,,,,,,
"Trans-Ocean Imitation Crab, Flake Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1e5f821f-7427-41ea-8c16-020771f7213e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e19a77d4-0a75-4ce0-ba55-b774dc3c16f7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3017e05b-6ae4-4810-bcfb-e72696c8d146.png 4x",,,"Fully cooked. Pasteurized. Ready-to-eat. Crab classic is healthy, great-tasting seafood. Made with wild alaska pollock, a certified sustainable seafood. Gluten-free and heart healthy. A nutritious source of protein. Certified Sustainable Seafood MSC. www.msc.org. This seafood has met the MSC's global standard for sustainability. www.msc.org. Alaska genuine pollock. www.alaskapollock.org.","Alaska Pollock (msc Certified), Water, Egg Whites, Corn Starch, Sugar, Sorbitol, Contains 2% Or Less Of: King Crab Meat, Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Refined Fish Oil* (anchovy, Sardine), Rice Wine (water, Rice, Koji), Modified Tapioca Starch, Sea Salt, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Soy Lecithin, Carmine, Paprika, Color Added.","Enjoy in seafood salads, hot dishes & more.,Must be kept refrigerated to maintain safety.,For best results, use within 3 days after opening. Product can be frozen prior to use-by-date, and kept frozen for up to 9 months.","Contains: fish (alaska pollock, anchovy, sardine), crustacean shellfish (king crab, blue crab, snow crab, lobster), egg, soy.",,,,,,
Echo Falls Smoked Wild Alaskan Sockeye Salmon,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_18bc1197-1895-4b44-ac07-3fb14f28a8aa.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_79a4e885-fa3f-46a1-b827-4dd0cc5c18cb.png 4x",,,"Certified sustainable seafood.,From an MSC certified sustainable fishery.,www.msc.org www.oceanbeauty.com Product of U.S.A.","Sockeye Salmon, Sugar, Salt, Brown Sugar, Natural Hardwood Smoke","Must be kept refrigerated at or below 38°F.,Use within 4 days after opening.",May contain bones.,,,,,,
Censea Peeled & Deveined Shrimp,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_94574002-7325-46c7-a72f-8cff5917f0ea.jpg 4x,,,,"Shrimp, Salt.",,,,,,,,
Store Brand Salt Mackerel Fillets,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4ed64958-40d1-474a-bd45-80ba306429e3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1522e215-a5c6-414e-a475-6d6ddbaad049.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8d23dd56-78a9-43b7-a709-baef5518913e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_00878a13-416e-4239-96e2-220059fe46c5.jpg 4x",,,,"Mackerel, Salt, Water",,,,,,,,
Handy Seafood Special Crab Meat,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_19727605-e280-4b8c-9955-f777e28a0c95.jpg 4x,,,"Our Special consists of pieces of backfin and white body meat, the most economical white meat of all crabs. This crab meat (Portunus spp) is available year-round.",Crab Meat (portunus Spp). Contains Sodium Acid Pyrophosphate To Prevent The Formation Of Struvite Crystals.,"Perishable. Keep refrigerated.,Examine and remove any shell before using.",,,,,,,
"Boss Crab Meat, Claw",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ae09adf7-9267-4df8-830b-4684badba879.png 4x,,,"Handpicked. Pasteurized. Contains sodium acid pyrophosphates (SAPP) to retain color. Pasteurized crab meat. Handpicked blue swimming crab (portunus pelagicus). Boss Brand is 100% Wild Caught Crab: Picked from Blue Swimming Crab (Portunus Pelagicus) Crabs are steamed, handpicked, graded, sealed and pasteurized for excellent quality and flavor. Our Boss brand Crab Meat is processed in the highest quality controlled plants. We adhere to the strictest HACCP and industry standards. NFI Crab Council: Committed to sustainability. www.bosscrabmeat.com. Find us on Facebook. Product of Indonesia.","Contains Sodium Acid Pyrophosphates (sapp) To Retain Color, Pasteurized Crab Meat, Hand Picked Blue Swimming Crab (portunius Pelagicus)",Keep refrigerated. Perishable.,May contain small shell fragments.,,,,,,
"Blue Hill Bay Salmon, Smoked",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f96187ce-e166-4d1b-83f8-80d46f06826c.png 4x,,,"Pre-sliced. Ready-to-eat. All-natural. Preservative-free. No preservatives. Sugar free. Omega-3 fatty acids. Gluten free. 0 trans-fat. Smaller packaging, less plastic. Better for nature and the fish we love. Our newly redesigned packaging is smaller and uses less plastic to reduce our environmental impact and keep our oceans clean. Since its inception in 2000, the Blue Hill Bay line has adapted traditional methods of curing and smoking salmon - techniques employed in Europe for generations. Our distinct smoked salmon process begins with the freshest salmon available. After a special dry curing process is completed, sides of salmon are cold smoked with a unique blend of native American hardwoods. For recipes or to learn more about the quality and variety of our premium blue Hill Bay product line, visit us online. See recipes and product information directly from your smart phone! The Blue Hill Bay line is complemented by a full line of smoked wild salmon, other specialty smoked fish. www.Bluehillbay.com. 13 g protein. acmesmokedfish.com. Product of USA.","Atlantic Salmon, Salt, Celery Powder, Natural Hardwood Smoke","Handling Instructions: Must keep refrigerated at 38 degrees F or below. Smoked salmon can also be kept frozen for extended shelf life. If frozen, it must be thawed under refrigeration. Best if used within 5 days of opening. This product is ready to eat. Avoid cross-contamination by keeping this product separate from raw foods. Serving Suggestions: For the best taste, remove the smoked salmon from the package and allow it to sit at room temperature for a few minutes before serving.",May contain bones.,,,,,,
"Foppen Salmon Slices, Smoked Norwegian, Flame Roasted",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_04da90a1-3461-47e0-9073-43735846593d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc996527-876e-4a48-8029-f2877877665d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_63102f78-9dc6-465d-af7e-154fac0564ac.jpg 4x",,,"Gluten free. Dairy free. Raised without antibiotics. Since 1918. Ready to eat. Formed fish. Vacuum-packed. Smoked Norwegian Salmon Slices - Flame Roasted: Our premium Norwegian salmon is smoked on oak- and beech wood. After this time-honored smoking technique, the salmon is flame roasted using a specialized process. This process maintains the tender texture of the salmon, but gives it a roasted flavor for an explicit experience. www.foppensalmon.com. Produced in Greece. Aquaculture from Norway. Processed, smoked and packaged in Greece.","Atlantic Salmon (salmo Salar), Salt, Yeast Extract, Distilled Vinegar Powder, Fish Gelatin (cod, Pollock And/or Haddock), Transglutaminase, Smoke. Color Added. Fish Gelatin / Transglutaminase: A Firming Agent Which Is Created From Cod, Pollock And/or Haddock.",Keep refrigerated at 38 degrees F (3 degrees C) or below. After opening store in an airtight container and use within 4 days. This product has been previously frozen. Despite careful filleting a small bone may unintentionally have been left in the fish.,Contains: fish (salmon).,,,,,,
